"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"567","Jesper Bratt","N.J","L","245","734.48333333333","19","64","24","40","83","63.36","118","16.10","16.67","218","165","148","40","5","18","12","6","6","0","0","1","19","4","12","27","0","0","1","0.00"
"519","Auston Matthews","TOR","C","222","745.3","41","41","21","20","82","63.08","221","18.55","32.99","396","309","252","88","0","41","6","3","3","0","0","1","25","10","11","22","1","86","68","55.84"
"674","Drake Batherson","OTT","R","246","835.31666666667","34","48","32","16","82","63.08","172","19.77","33.69","301","256","237","125","2","27","6","3","3","0","0","0","22","6","20","29","3","6","8","42.86"
"901","Tim Stützle","OTT","C, L","235","858.13333333333","16","65","23","42","81","66.94","132","12.12","17.18","295","194","156","26","1","28","18","5","4","0","1","6","44","8","6","47","3","21","18","53.85"
"369","Kevin Fiala","L.A","L","232","713.53333333333","33","47","22","25","80","79.21","158","20.89","23.06","346","247","195","48","0","25","30","11","10","0","1","1","21","5","12","20","1","1","1","50.00"
"523","Adam Fox","NYR","D","228","765.43333333333","8","72","33","39","80","62.02","101","7.92","10.25","229","148","86","10","1","16","16","8","8","0","0","5","20","18","5","12","14","0","0","-"
"98","John Tavares","TOR","C","235","735.75","39","40","21","19","79","58.09","250","15.60","48.75","389","340","338","233","3","54","12","6","6","0","0","3","24","4","9","38","0","477","311","60.53"
"531","Alex DeBrincat","DET, OTT","R","246","819.9","36","43","31","12","79","58.09","197","18.27","32.41","360","279","220","62","1","32","10","5","5","0","0","5","25","8","8","22","1","9","16","36.00"
"135","Mats Zuccarello","MIN","R","216","805.75","17","61","35","26","78","62.40","165","10.30","15.48","310","223","141","30","1","48","10","5","5","0","0","8","26","5","4","22","5","0","1","0.00"
"17","Sidney Crosby","PIT","C","244","865.43333333333","31","46","25","21","77","63.11","194","15.98","35.15","343","269","220","111","1","46","8","4","4","0","0","4","37","13","10","20","1","552","399","58.04"
"450","Dylan Strome","WSH","C","245","732.11666666667","18","59","36","23","77","70.00","108","16.67","20.33","187","150","128","75","0","34","10","5","5","0","0","2","32","5","2","15","2","413","322","56.19"
"427","Kyle Connor","WPG","L","229","750.18333333333","22","54","28","26","76","63.87","198","11.11","20.75","370","261","156","24","3","35","6","3","3","0","0","1","26","5","2","11","1","0","0","-"
"636","Nick Suzuki","MTL","C","246","854.88333333333","24","52","30","22","76","72.38","120","20.00","17.93","235","175","140","51","3","26","10","4","4","0","0","5","30","7","9","41","0","319","292","52.21"
"648","Martin Necas","CAR, COL","C","238","699.15","29","47","25","22","76","69.09","139","20.86","13.92","250","190","98","18","1","17","6","3","3","0","0","7","34","5","1","28","1","35","39","47.30"
"10","Alex Ovechkin","WSH","L","217","973.4","41","34","17","17","75","57.25","276","14.86","28.37","613","401","180","31","3","42","14","7","7","0","0","2","16","17","15","9","3","0","0","-"
"76","Roman Josi","NSH","D","202","720.41666666667","19","55","28","27","74","71.84","157","12.10","14.24","332","219","116","18","2","27","8","4","4","0","0","1","16","7","5","16","16","0","0","-"
