"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"79","Devin Cooley","CGY","31","1718","846","769","77","0.909","2.69","11.46","99.64","260","223","37","0.858","1.29","11.78","234","204","30","0.872","1.05","0.12","300","290","10","0.967","0.35","3.19","24","190","34.03","20.29"
"19","Joonas Korpisalo","BOS","31","1713.0833333333","850","760","90","0.894","3.15","-1.13","96.49","253","212","41","0.838","1.44","6.47","212","179","33","0.844","1.16","-5.72","359","343","16","0.955","0.56","-0.21","37","185","32.73","20.59"
"45","Casey DeSmith","DAL","30","1755","760","689","71","0.907","2.43","8.46","84.61","207","171","36","0.826","1.23","2.84","194","173","21","0.892","0.72","3.97","331","318","13","0.961","0.44","1.56","28","148","34.81","21.59"
"51","David Rittich","NYI","30","1651.35","719","643","76","0.894","2.76","-0.82","85.31","205","171","34","0.834","1.24","4.46","190","158","32","0.832","1.16","-7.55","289","279","10","0.965","0.36","2.71","34","160","34.71","20.41"
"34","Elvis Merzlikins","CBJ","30","1678.6166666667","810","715","95","0.883","3.40","-10.31","91.57","235","198","37","0.843","1.32","7.09","217","181","36","0.834","1.29","-8.07","326","304","22","0.933","0.79","-7.66","20","167","33.91","24.44"
"64","Justus Annunen","NSH","28","1500.5333333333","710","643","67","0.906","2.68","7.24","80.5","205","175","30","0.854","1.20","8.46","190","164","26","0.863","1.04","-1.55","285","274","11","0.961","0.44","1.53","12","122","33.28","21.84"
"41","Adin Hill","VGK","27","1497.8166666667","586","510","76","0.870","3.04","-14.73","61.49","157","117","40","0.745","1.60","-10.54","150","126","24","0.840","0.96","-4.69","239","227","12","0.950","0.48","-1.49","29","98","36.96","19.11"
"20","Anthony Stolarz","TOR","26","1389.25","708","632","76","0.893","3.28","-1.97","74","191","157","34","0.822","1.47","1.84","200","168","32","0.840","1.38","-6.26","290","280","10","0.966","0.43","2.75","32","115","33.38","21.64"
"86","Arvid Soderblom","CHI","26","1468.6166666667","774","681","93","0.880","3.80","-12.07","88.07","267","209","58","0.783","2.37","-7.90","193","168","25","0.870","1.02","-0.16","284","274","10","0.965","0.41","2.49","13","156","31.89","18.71"
"1","Jonathan Quick","NYR","25","1418","670","597","73","0.891","3.09","-2.95","72.49","178","139","39","0.781","1.65","-5.60","167","145","22","0.868","0.93","-0.51","307","295","12","0.961","0.51","1.50","26","134","35.04","19.63"
"26","Eric Comrie","WPG","25","1381.5","652","580","72","0.890","3.13","-3.83","72.58","177","140","37","0.791","1.61","-3.79","176","153","23","0.869","1.00","-0.35","266","254","12","0.955","0.52","-0.30","27","151","35.38","21.00"
"33","Jonas Johansson","T.B","25","1423.5166666667","670","592","78","0.884","3.29","-7.95","68.09","176","138","38","0.784","1.60","-4.98","179","145","34","0.810","1.43","-10.96","279","273","6","0.978","0.25","6.27","30","116","36.20","20.10"
"40","Sam Montembeault","MTL","25","1418.2","636","555","81","0.873","3.43","-14.50","79.62","204","161","43","0.789","1.82","-4.72","177","155","22","0.876","0.93","0.78","222","206","16","0.928","0.68","-6.24","22","140","33.52","21.58"
"31","Vitek Vanecek","UTA","22","1207.5666666667","506","447","59","0.883","2.93","-6.09","59.2","159","127","32","0.799","1.59","-2.17","124","105","19","0.847","0.94","-3.04","203","195","8","0.961","0.40","0.93","24","121","33.75","19.64"
"46","Charlie Lindgren","WSH","22","1310.1333333333","601","528","73","0.879","3.34","-10.16","66.68","163","125","38","0.767","1.74","-7.42","163","143","20","0.877","0.92","0.98","249","235","14","0.944","0.64","-3.05","25","95","34.21","22.47"
"97","Nikita Tolopilo","VAN","21","1145.6833333333","581","512","69","0.881","3.61","-8.25","64.38","166","135","31","0.813","1.62","0.15","169","144","25","0.852","1.31","-3.25","226","213","13","0.942","0.68","-3.06","21","109","32.77","20.42"
"94","Dennis Hildeby","TOR","20","1008.7333333333","549","501","48","0.913","2.86","9.40","62.21","160","134","26","0.838","1.55","4.02","142","133","9","0.937","0.54","9.28","230","217","13","0.943","0.77","-2.89","16","124","32.98","21.27"
"29","Thatcher Demko","VAN","20","1115.8666666667","513","459","54","0.895","2.90","-0.36","58.7","157","126","31","0.803","1.67","-1.54","126","111","15","0.881","0.81","1.22","217","209","8","0.963","0.43","1.54","13","98","31.59","20.02"
"36","Ville Husso","ANA","20","1145.6333333333","535","473","62","0.884","3.25","-6.06","60.25","150","119","31","0.793","1.62","-2.86","145","124","21","0.855","1.10","-2.34","213","203","10","0.953","0.52","-0.63","12","117","34.66","19.94"
"80","Leevi Meriläinen","OTT","20","1094.4833333333","457","393","64","0.860","3.51","-16.22","47.85","131","101","30","0.771","1.64","-5.42","107","85","22","0.794","1.21","-8.23","194","182","12","0.938","0.66","-3.47","26","97","35.97","22.70"
"49","Carter Hart","VGK","18","1019.7833333333","420","374","46","0.890","2.71","-2.09","41.95","95","74","21","0.779","1.24","-3.18","134","120","14","0.896","0.82","3.25","172","161","11","0.936","0.65","-3.44","13","80","36.03","23.37"
"96","Jacob Fowler","MTL","17","1010.7","446","405","41","0.908","2.43","5.63","51.63","128","105","23","0.820","1.37","1.02","132","120","12","0.909","0.71","4.99","168","162","6","0.964","0.36","1.39","18","105","33.53","18.93"
"70","Colten Ellis","BUF","16","911.33333333333","455","411","44","0.903","2.90","3.57","47.91","128","107","21","0.836","1.38","3.02","108","94","14","0.870","0.92","-0.10","193","184","9","0.953","0.59","-0.51","13","90","35.58","19.20"
"8","Calvin Pickard","EDM","16","864.13333333333","410","357","53","0.871","3.68","-10.13","47","120","89","31","0.742","2.15","-8.49","128","113","15","0.883","1.04","1.47","143","136","7","0.951","0.49","-0.71","27","79","32.21","17.13"
"2","James Reimer","OTT","14","817.78333333333","289","256","33","0.886","2.42","-2.78","34.44","75","58","17","0.773","1.25","-2.93","71","59","12","0.831","0.88","-2.86","130","126","4","0.969","0.29","1.72","11","59","34.85","19.03"
"11","Petr Mrazek","ANA","10","515.88333333333","247","212","35","0.858","4.07","-9.17","27.47","77","61","16","0.792","1.86","-1.55","70","56","14","0.800","1.63","-4.99","83","78","5","0.940","0.58","-1.35","9","41","35.08","21.57"
"71","Pyotr Kochetkov","CAR","9","490.15","189","170","19","0.899","2.33","0.76","18.93","45","34","11","0.756","1.35","-2.56","66","59","7","0.894","0.86","1.49","65","64","1","0.985","0.12","1.86","15","32","37.65","17.32"
"84","Carl Lindbom","VGK","8","480.66666666667","189","165","24","0.873","3.00","-4.24","21.03","44","30","14","0.682","1.75","-5.74","59","53","6","0.898","0.75","1.59","77","73","4","0.948","0.50","-0.61","8","43","34.00","19.63"
"27","Spencer Martin","NYR","6","290.65","146","126","20","0.863","4.13","-4.73","16.3","42","31","11","0.738","2.27","-3.12","36","29","7","0.806","1.45","-2.37","63","61","2","0.968","0.41","0.77","7","31","34.52","17.85"
"18","Matt Murray","SEA","5","216.88333333333","102","94","8","0.922","2.21","2.66","10.85","28","24","4","0.857","1.11","1.25","23","19","4","0.826","1.11","-1.04","47","47","0","1.000","0.00","2.07","5","20","37.09","18.00"
"93","Sergei Murashov","PIT","5","281.28333333333","116","104","12","0.897","2.56","0.13","11.64","24","21","3","0.875","0.64","1.50","26","22","4","0.846","0.85","-0.65","64","59","5","0.922","1.07","-2.19","6","12","35.19","25.08"
"68","Trent Miner","COL","4","236.56666666667","105","97","8","0.924","2.03","2.98","9.54","15","15","0","1.000","0.00","2.81","32","26","6","0.813","1.52","-1.88","51","49","2","0.961","0.51","0.24","2","18","39.40","26.00"
"90","Clay Stevenson","WSH","4","239.73333333333","101","93","8","0.921","2.00","2.56","12.13","24","20","4","0.833","1.00","0.50","24","23","1","0.958","0.25","2.09","49","46","3","0.939","0.75","-0.85","2","21","37.69","28.88"
"85","Aleksei Kolosov","PHI","4","120.01666666667","47","39","8","0.830","4.00","-3.09","4.56","10","8","2","0.800","1.00","-0.12","13","10","3","0.769","1.50","-1.33","21","18","3","0.857","1.50","-2.08","0","6","34.81","22.13"
"77","Dylan Garand","NYR","3","185","96","91","5","0.948","1.62","5.04","9.66","25","21","4","0.840","1.30","0.69","23","22","1","0.957","0.32","1.96","44","44","0","1.000","0.00","1.94","1","11","36.54","12.60"
"75","Drew Commesso","CHI","3","181.71666666667","85","78","7","0.918","2.31","1.89","8.65","22","16","6","0.727","1.98","-1.87","26","25","1","0.962","0.33","2.35","32","32","0","1.000","0.00","1.41","6","16","36.04","13.00"
"74","Nico Daws","N.J","3","183.26666666667","87","79","8","0.908","2.62","1.10","10.51","31","26","5","0.839","1.64","0.82","23","20","3","0.870","0.98","-0.04","28","28","0","1.000","0.00","1.23","2","20","31.55","16.63"
"92","Nikke Kokko","SEA","3","177.68333333333","82","73","9","0.890","3.04","-0.43","9.02","17","13","4","0.765","1.35","-0.81","29","25","4","0.862","1.35","-0.27","29","28","1","0.966","0.34","0.28","3","13","37.78","24.33"
"89","Thomas Milic","WPG","3","138.63333333333","62","54","8","0.871","3.46","-1.52","5.77","13","11","2","0.846","0.87","0.44","17","12","5","0.706","2.16","-2.81","28","27","1","0.964","0.43","0.23","4","12","40.65","26.75"
"82","Artur Akhtyamov","TOR","3","126","82","71","11","0.866","5.24","-2.43","10.3","28","21","7","0.750","3.33","-1.75","17","14","3","0.824","1.43","-0.81","34","33","1","0.971","0.48","0.50","3","16","31.23","13.73"
"56","Cayden Primeau","TOR","3","181.46666666667","80","67","13","0.838","4.30","-4.64","6.83","16","11","5","0.688","1.65","-2.00","30","25","5","0.833","1.65","-1.14","32","29","3","0.906","0.99","-1.59","4","15","34.66","27.38"
"69","Mads Sogaard","OTT","2","77.416666666667","36","30","6","0.833","4.65","-2.24","3.83","10","9","1","0.900","0.78","0.88","9","8","1","0.889","0.78","0.16","15","11","4","0.733","3.10","-3.34","3","6","38.00","36.00"
"32","Brandon Halverson","T.B","2","56.883333333333","21","17","4","0.810","4.22","-1.80","2.57","7","6","1","0.857","1.05","0.31","6","4","2","0.667","2.11","-1.23","7","6","1","0.857","1.05","-0.69","0","4","31.29","30.50"
"54","Michael DiPietro","BOS","1","6.05","2","2","0","1.000","0.00","0.21","0.13","0","0","0","-","0.00","0.00","2","2","0","1.000","0.00","0.26","0","0","0","-","0.00","0.00","0","0","31.00","-"
"87","Arsenii Sergeev","CGY","1","60","28","27","1","0.964","1.00","1.93","3.54","10","9","1","0.900","1.00","0.88","9","9","0","1.000","0.00","1.16","7","7","0","1.000","0.00","0.31","1","8","32.96","6.00"
"98","Victor Ostman","SEA","1","57.166666666667","35","33","2","0.943","2.10","1.66","3.21","4","4","0","1.000","0.00","0.75","11","10","1","0.909","1.05","0.42","18","17","1","0.944","1.05","-0.21","0","3","39.11","13.00"
"28","Pheonix Copley","L.A","1","58.566666666667","28","25","3","0.893","3.07","-0.07","2.18","7","6","1","0.857","1.02","0.31","5","5","0","1.000","0.00","0.64","14","12","2","0.857","2.05","-1.38","0","2","38.43","24.67"
"78","Hunter Shepard","OTT","1","37.283333333333","12","10","2","0.833","3.22","-0.75","1.36","1","1","0","1.000","0.00","0.19","7","5","2","0.714","3.22","-1.10","4","4","0","1.000","0.00","0.18","2","2","33.00","27.50"
"58","Jiri Patera","VAN","1","56.816666666667","40","33","7","0.825","7.39","-2.82","3.73","12","10","2","0.833","2.11","0.25","12","8","4","0.667","4.22","-2.46","15","14","1","0.933","1.06","-0.34","0","5","29.30","18.43"
"95","Vyacheslav Buteyets","ANA","1","20","13","10","3","0.769","9.00","-1.64","1.13","4","3","1","0.750","3.00","-0.25","3","3","0","1.000","0.00","0.39","6","4","2","0.667","6.00","-1.74","2","1","26.46","21.67"
"13","Laurent Brossoit","S.J","1","59.15","24","18","6","0.750","6.09","-3.49","3.66","6","4","2","0.667","2.03","-0.87","9","7","2","0.778","2.03","-0.84","7","5","2","0.714","2.03","-1.69","0","7","36.42","22.17"
"23","Marcus Hogberg","NYI","1","13.483333333333","7","5","2","0.714","8.90","-1.27","0.64","2","1","1","0.500","4.45","-0.62","2","1","1","0.500","4.45","-0.74","3","3","0","1.000","0.00","0.13","0","2","27.14","20.00"
