"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"250","Radek Faksa","DAL, STL","C","225","396.48333333333","3","3","3","0","6","75.00","18","16.67","1.83","24","20","13","7","3","3","8","4","4","0","0","3","6","17","5","6","29","151","142","51.54"
"356","Garnet Hathaway","BOS, PHI, WSH","R","233","338.46666666667","3","3","3","0","6","85.71","16","18.75","1.58","22","19","14","8","1","1","14","3","2","0","1","5","3","6","24","14","51","4","7","36.36"
"378","Jared McCann","SEA","L","241","321.58333333333","5","1","1","0","6","75.00","53","9.43","4.83","70","64","34","12","12","8","6","3","3","0","0","7","7","23","4","4","18","23","37","38.33"
"401","Sam Lafferty","BUF, CHI, TOR, VAN","C","209","172.73333333333","5","1","1","0","6","75.00","19","26.32","1.9","23","21","13","7","5","0","0","0","0","0","0","0","5","8","8","1","11","56","65","46.28"
"466","Mathieu Joseph","OTT, STL","R","188","324.28333333333","4","2","2","0","6","100.00","32","12.50","5.47","44","42","31","19","8","1","28","6","4","0","2","11","4","20","14","13","23","5","4","55.56"
"485","Derek Ryan","EDM","C","186","221.56666666667","4","2","1","1","6","85.71","12","33.33","1.55","17","15","12","8","4","2","8","4","4","0","0","4","1","16","10","3","5","118","131","47.39"
"684","Parker Kelly","COL, OTT","C, L","215","457.73333333333","3","3","3","0","6","54.55","32","9.38","3.8","50","41","25","10","7","2","2","1","1","0","0","4","9","16","11","10","40","58","98","37.18"
"742","Connor Dewar","MIN, PIT, TOR","C","203","366.9","4","2","1","1","6","100.00","24","16.67","3.03","33","29","26","16","10","1","2","1","1","0","0","7","1","13","26","9","19","63","87","42.00"
"775","Blake Lizotte","L.A, PIT","C","202","291.81666666667","3","3","3","0","6","66.67","17","17.65","1.65","21","20","11","2","0","0","2","1","1","0","0","5","3","7","12","11","18","66","99","40.00"
"786","Dylan Cozens","BUF, OTT","C","242","275.88333333333","5","1","1","0","6","85.71","34","14.71","4.91","49","41","30","14","7","3","4","2","2","0","0","4","4","20","10","10","9","151","206","42.30"
"834","Aliaksei Protas","WSH","C","212","199.2","3","3","3","0","6","100.00","22","13.64","2.4","27","25","14","7","2","2","0","0","0","0","0","1","6","9","1","5","17","9","29","23.68"
"856","Cole Smith","NSH","L, R","220","481.2","1","5","3","2","6","85.71","37","2.70","3.88","52","43","36","11","9","7","9","3","2","1","0","5","10","25","31","16","25","2","8","20.00"
"955","Wyatt Johnston","DAL","C","246","262.35","6","0","0","0","6","75.00","19","31.58","2.85","29","23","16","7","5","0","2","1","1","0","0","1","3","8","3","6","12","80","94","45.98"
"19","Anze Kopitar","L.A","C","244","393.51666666667","1","4","2","2","5","100.00","9","11.11","0.56","13","11","4","2","1","1","0","0","0","0","0","3","7","14","9","2","17","251","283","47.00"
"37","Claude Giroux","OTT","R","245","428.08333333333","2","3","3","0","5","62.50","40","5.00","2.82","53","48","19","11","13","3","8","4","4","0","0","4","7","14","7","1","16","423","326","56.48"
"68","Alex Pietrangelo","VGK","D","208","490.56666666667","0","5","3","2","5","31.25","20","0.00","0.23","29","25","1","0","12","0","6","3","3","0","0","3","17","14","15","6","78","1","0","100.00"
"72","Tyler Myers","VAN","D","226","499.28333333333","3","2","1","1","5","50.00","11","27.27","0.64","18","14","7","2","2","0","24","8","7","0","1","4","14","7","38","1","71","0","0","-"
"111","Brayden McNabb","VGK","D","246","519.8","1","4","1","3","5","35.71","7","14.29","0.09","9","7","2","0","2","0","15","6","5","1","0","6","6","5","56","8","118","0","0","-"
"126","Erik Haula","N.J","L","225","411.23333333333","3","2","2","0","5","83.33","18","16.67","2.23","29","24","16","9","6","0","6","3","3","0","0","2","3","18","7","3","20","143","162","46.89"
"137","Calle Jarnkrok","TOR","C","144","214.38333333333","2","3","3","0","5","100.00","9","22.22","0.86","17","12","9","4","4","0","0","0","0","0","0","4","3","9","5","5","7","32","34","48.48"
"147","Brock Nelson","COL, NYI","C","244","156.76666666667","4","1","1","0","5","100.00","20","20.00","2.06","26","22","19","7","4","1","0","0","0","0","0","1","1","9","1","1","6","44","64","40.74"
"170","Sam Carrick","ANA, EDM, NYR","C","209","308.25","3","2","2","0","5","83.33","18","16.67","1.53","24","19","12","8","1","1","6","3","3","0","0","2","4","8","9","4","21","161","146","52.44"
"186","Nick Seeler","PHI","D","225","340.66666666667","0","5","2","3","5","50.00","6","0.00","0.63","11","9","6","3","0","1","6","3","3","0","0","4","7","5","22","4","81","0","0","-"
"220","Phillip Danault","L.A","C","240","431.95","0","5","4","1","5","100.00","24","0.00","1.65","31","27","16","4","7","1","4","2","2","0","0","3","10","15","9","2","29","223","263","45.88"
"228","Luke Glendening","DAL, T.B","C","228","479.5","4","1","1","0","5","62.50","27","14.81","2.15","34","30","16","8","2","1","2","1","1","0","0","4","4","7","10","12","43","265","259","50.57"
"236","Brady Skjei","CAR, NSH","D","243","563.21666666667","2","3","1","2","5","45.45","18","11.11","0.4","24","21","4","1","5","0","6","3","3","0","0","6","14","22","18","7","40","0","0","-"
"241","Mike Matheson","MTL","D","210","633.25","2","3","2","1","5","31.25","27","7.41","1.63","36","30","12","3","8","0","8","4","4","0","0","5","23","13","9","8","101","0","0","-"
"252","Colton Parayko","STL","D","225","517.26666666667","2","3","1","2","5","35.71","27","7.41","0.35","27","27","1","0","7","0","0","0","0","0","0","1","9","14","16","4","63","0","0","-"
"264","Colton Sissons","NSH","C","235","551.36666666667","4","1","1","0","5","100.00","26","15.38","3.43","42","39","29","15","3","4","6","3","3","0","0","6","7","22","13","8","25","330","376","46.74"
"265","Teddy Blueger","PIT, VAN, VGK","C","213","445.96666666667","2","3","3","0","5","83.33","30","6.67","3","38","36","21","13","7","8","8","4","4","0","0","2","5","15","7","5","28","247","306","44.67"
"291","MacKenzie Weegar","CGY","D","244","470.93333333333","0","5","0","5","5","35.71","17","0.00","0.15","21","17","3","0","4","1","8","3","3","0","0","3","12","6","40","8","96","0","1","0.00"
"309","Andrew Copp","DET","C","217","443.21666666667","3","2","2","0","5","83.33","31","9.68","2.4","38","34","16","7","6","0","2","1","1","0","0","4","8","12","0","2","30","167","202","45.26"
"335","Sean Monahan","CBJ, MTL, WPG","C","162","231.01666666667","2","3","1","2","5","100.00","21","9.52","2.09","28","27","19","7","5","1","10","1","0","0","1","2","4","6","2","0","10","120","139","46.33"
"336","Darnell Nurse","EDM","D","239","572.03333333333","4","1","1","0","5","41.67","34","11.76","2.77","45","44","20","8","13","1","25","7","5","1","1","3","16","10","22","11","114","0","0","-"
"339","Valeri Nichushkin","COL","R","150","248.43333333333","1","4","4","0","5","71.43","24","4.17","2.89","36","34","20","9","4","4","2","1","1","0","0","2","3","8","2","1","14","2","7","22.22"
"357","Frederick Gaudreau","MIN","C","231","432.08333333333","4","1","1","0","5","83.33","19","21.05","2.3","24","22","9","3","6","1","0","0","0","0","0","0","6","6","1","5","36","233","243","48.95"
"422","Frank Vatrano","ANA","R","244","301.28333333333","4","1","1","0","5","100.00","25","16.00","2.95","34","30","17","12","3","5","17","3","1","1","1","6","4","9","14","3","24","4","8","33.33"
"431","Jack Eichel","VGK","C","207","270.2","1","4","3","1","5","100.00","24","4.17","3.21","38","33","19","10","1","1","2","1","1","0","0","2","5","11","0","2","26","108","147","42.35"
"475","Ivan Provorov","CBJ, PHI","D","246","666.93333333333","1","4","3","1","5","38.46","13","7.69","0.32","17","16","3","0","4","0","0","0","0","0","0","5","23","20","15","12","90","0","0","-"
"479","Yakov Trenin","COL, MIN, NSH","C","229","401.76666666667","4","1","1","0","5","71.43","24","16.67","2.83","36","30","19","8","6","2","4","2","2","0","0","4","6","27","21","7","16","33","49","40.24"
"486","Kevin Stenlund","FLA, UTA, WPG","C","217","533.93333333333","5","0","0","0","5","83.33","28","17.86","3.33","47","38","19","7","8","2","6","3","3","0","0","3","14","24","13","13","43","297","293","50.34"
"562","Jesper Bratt","N.J","L","245","210.53333333333","2","3","3","0","5","100.00","16","12.50","2.56","23","19","16","8","2","1","0","0","0","0","0","3","1","7","8","1","8","0","2","0.00"
"594","Trevor Moore","L.A","C, L","212","336.68333333333","4","1","1","0","5","83.33","35","11.43","4.97","54","47","30","15","12","4","8","4","4","0","0","4","5","15","4","5","15","1","5","16.67"
"631","Robert Thomas","STL","C","225","327.88333333333","3","2","2","0","5","55.56","16","18.75","1.65","21","20","16","7","5","1","2","1","1","0","0","5","10","19","1","8","10","203","228","47.10"
"655","David Kampf","TOR","C","219","529","1","4","3","1","5","62.50","15","6.67","2.94","30","27","15","8","1","1","2","1","1","0","0","2","11","27","11","16","21","337","429","43.99"
"675","Morgan Barron","WPG","C","224","313.91666666667","3","2","2","0","5","100.00","28","10.71","4.02","33","31","18","10","6","1","0","0","0","0","0","5","5","13","8","2","27","13","16","44.83"
"818","Shane Pinto","OTT","C","193","190.85","3","2","2","0","5","83.33","15","20.00","2.18","22","20","18","7","3","1","2","1","1","0","0","3","2","7","5","3","13","41","53","43.62"
"868","Ridly Greig","OTT","C","170","240.11666666667","3","2","2","0","5","83.33","9","33.33","1.42","14","11","8","4","0","1","4","2","2","0","0","4","5","12","12","10","16","40","41","49.38"
"880","Anton Lundell","FLA","C","230","402.23333333333","4","1","1","0","5","71.43","29","13.79","4.77","52","41","22","12","9","2","6","2","2","0","0","4","11","17","9","12","23","105","113","48.17"
"43","Alex Killorn","ANA, T.B","C, L","227","395.35","2","2","1","1","4","66.67","24","8.33","2.1","35","29","17","12","5","2","6","3","3","0","0","2","3","13","7","10","8","3","7","30.00"
"121","Casey Cizikas","NYI","C","233","351.66666666667","2","2","1","1","4","100.00","17","11.76","2.25","20","18","17","9","5","2","2","1","1","0","0","5","10","14","9","7","42","133","167","44.33"
