"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"103","Magnus Chrona","S.J","9","471.25","261","224","37","0.858","4.71","-11.57","27.09","65","47","18","0.723","2.29","-5.84","72","61","11","0.847","1.40","-2.65","111","103","8","0.928","1.02","-3.58","12","49","35.12","20.32"
"90","Jiri Patera","VGK","8","436.76666666667","266","240","26","0.902","3.57","-0.08","24.83","71","58","13","0.817","1.79","0.29","67","61","6","0.910","0.82","1.77","113","106","7","0.938","0.96","-2.50","13","43","34.59","21.12"
"41","Matt Tomkins","T.B","6","360.21666666667","185","165","20","0.892","3.33","-1.98","18.23","48","40","8","0.833","1.33","0.98","52","44","8","0.846","1.33","-1.97","76","72","4","0.947","0.67","-0.97","11","39","35.28","22.90"
"136","Dennis Hildeby","TOR","6","360.81666666667","157","137","20","0.873","3.33","-4.70","15.75","35","27","8","0.771","1.33","-1.45","47","38","9","0.809","1.50","-3.55","66","63","3","0.955","0.50","-0.37","9","32","35.65","23.65"
"120","Devin Cooley","S.J","6","301.48333333333","192","167","25","0.870","4.98","-6.29","20.73","51","38","13","0.745","2.59","-3.46","56","48","8","0.857","1.59","-1.51","72","68","4","0.944","0.80","-1.13","8","49","36.32","21.28"
"125","Jesper Wallstedt","MIN","5","296.71666666667","138","121","17","0.877","3.44","-3.55","10.75","22","15","7","0.682","1.42","-2.88","39","32","7","0.821","1.42","-2.48","75","72","3","0.960","0.61","-0.01","12","22","36.47","26.35"
"119","Hunter Shepard","WSH","5","304.83333333333","149","129","20","0.866","3.94","-5.48","15.46","42","27","15","0.643","2.95","-7.14","37","34","3","0.919","0.59","1.29","64","62","2","0.969","0.39","0.55","5","30","34.26","18.90"
"42","Aaron Dell","S.J","4","199.28333333333","103","94","9","0.913","2.71","1.04","11.49","38","34","4","0.895","1.20","3.11","28","23","5","0.821","1.51","-1.75","34","34","0","1.000","0.00","1.36","6","20","29.11","18.89"
"134","Matt Murray","DAL","4","237.03333333333","87","77","10","0.885","2.53","-1.52","9.26","28","22","6","0.786","1.52","-0.76","24","22","2","0.917","0.51","0.78","29","27","2","0.931","0.51","-0.84","7","13","34.34","21.50"
"98","Kevin Mandolese","OTT","3","182.2","119","109","10","0.916","3.29","1.59","12.28","37","32","5","0.865","1.65","1.92","43","39","4","0.907","1.32","0.99","36","35","1","0.972","0.33","0.43","9","18","32.06","21.30"
"87","Matt Villalta","ARI, UTA","3","131.96666666667","60","52","8","0.867","3.64","-2.15","6.71","13","10","3","0.769","1.36","-0.57","20","15","5","0.750","2.27","-2.68","25","25","0","1.000","0.00","1.00","2","10","33.08","13.38"
"35","Jon Gillies","CBJ","3","118.15","66","57","9","0.864","4.57","-2.57","6.94","13","8","5","0.615","2.54","-2.57","28","24","4","0.857","2.03","-0.75","23","23","0","1.000","0.00","0.92","1","15","34.24","23.33"
"26","Keith Kinkaid","BOS, COL","2","87.85","40","38","2","0.950","1.37","1.90","4.17","12","10","2","0.833","1.37","0.25","10","10","0","1.000","0.00","1.16","16","16","0","1.000","0.00","0.64","1","7","36.30","10.00"
"23","Louis Domingue","NYR","2","120","53","50","3","0.943","1.50","2.16","4.56","12","10","2","0.833","1.00","0.25","10","9","1","0.900","0.50","0.16","30","30","0","1.000","0.00","1.20","0","10","35.40","16.67"
"91","Dylan Ferguson","OTT","2","118.86666666667","83","78","5","0.940","2.52","3.09","7.9","23","21","2","0.913","1.01","2.30","28","25","3","0.893","1.51","0.25","29","29","0","1.000","0.00","1.16","2","15","34.04","18.20"
"36","Chris Driedger","SEA","2","119.58333333333","60","55","5","0.917","2.51","0.85","6.06","16","13","3","0.813","1.51","-0.01","12","10","2","0.833","1.00","-0.61","30","30","0","1.000","0.00","1.20","7","12","32.28","17.00"
"89","Eetu Makiniemi","S.J","2","84.333333333333","32","29","3","0.906","2.13","0.12","2.64","9","8","1","0.889","0.71","0.68","9","7","2","0.778","1.42","-0.96","12","12","0","1.000","0.00","0.48","4","3","32.72","26.00"
"137","Nikita Tolopilo","VAN","2","83.65","26","23","3","0.885","2.15","-0.47","2.79","2","2","0","1.000","0.00","0.37","9","8","1","0.889","0.72","0.04","12","10","2","0.833","1.43","-1.52","2","3","43.19","25.67"
"109","Trent Miner","COL","2","91.633333333333","33","29","4","0.879","2.62","-0.78","2.33","6","4","2","0.667","1.31","-0.88","9","7","2","0.778","1.31","-0.96","15","15","0","1.000","0.00","0.60","3","5","47.15","22.75"
"138","Yaniv Perets","CAR","2","20.966666666667","8","7","1","0.875","2.86","-0.22","0.85","4","4","0","1.000","0.00","0.75","2","1","1","0.500","2.86","-0.77","2","2","0","1.000","0.00","0.08","0","1","21.38","25.00"
"96","Jakub Skarek","NYI","2","76.15","39","34","5","0.872","3.94","-1.20","3.5","10","6","4","0.600","3.15","-2.13","11","11","0","1.000","0.00","1.28","18","17","1","0.944","0.79","-0.28","1","10","31.67","15.80"
"99","Olivier Rodrigue","EDM","2","77.416666666667","29","25","4","0.862","3.10","-1.17","3.22","9","7","2","0.778","1.55","-0.32","13","11","2","0.846","1.55","-0.49","7","7","0","1.000","0.00","0.28","2","3","26.21","17.00"
"116","Drew Commesso","CHI","2","71.35","26","22","4","0.846","3.36","-1.47","3.7","6","3","3","0.500","2.52","-1.88","8","7","1","0.875","0.84","-0.07","9","9","0","1.000","0.00","0.36","5","9","38.73","14.50"
"130","Matthew Berlin","EDM","1","2.4333333333333","1","1","0","1.000","0.00","0.10","0.01","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.04","0","0","51.00","-"
"140","Victor Ostman","SEA","1","20","12","12","0","1.000","0.00","1.17","1.1","4","4","0","1.000","0.00","0.75","6","6","0","1.000","0.00","0.70","2","2","0","1.000","0.00","0.08","0","2","21.50","-"
"114","Erik Portillo","L.A","1","58.616666666667","29","28","1","0.966","1.02","1.83","3.27","9","8","1","0.889","1.02","0.68","6","6","0","1.000","0.00","0.70","12","12","0","1.000","0.00","0.48","3","5","33.76","9.00"
"78","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.27","1.62","4","4","0","1.000","0.00","0.75","3","2","1","0.667","3.00","-0.65","5","5","0","1.000","0.00","0.20","1","0","28.00","28.00"
"32","Malcolm Subban","CBJ","1","60","35","32","3","0.914","3.00","0.41","4.3","11","11","0","1.000","0.00","2.06","6","4","2","0.667","2.00","-1.30","18","17","1","0.944","1.00","-0.28","0","7","33.23","31.67"
"84","Olle Eriksson Ek","ANA","1","63.983333333333","39","34","5","0.872","4.69","-1.20","3","7","5","2","0.714","1.88","-0.69","11","10","1","0.909","0.94","0.28","21","19","2","0.905","1.88","-1.16","0","5","35.00","20.00"
"67","Ales Stezka","SEA","1","58.333333333333","23","20","3","0.870","3.09","-0.76","2.31","8","7","1","0.875","1.03","0.50","6","4","2","0.667","2.06","-1.30","8","8","0","1.000","0.00","0.32","0","1","32.52","19.00"
"133","Clay Stevenson","WSH","1","60","38","33","5","0.868","5.00","-1.30","3.06","8","6","2","0.750","2.00","-0.50","9","6","3","0.667","3.00","-1.96","17","17","0","1.000","0.00","0.68","3","4","38.21","18.00"
"124","Sebastian Cossa","DET","1","45","14","12","2","0.857","2.67","-0.64","1.55","5","3","2","0.600","2.67","-1.06","3","3","0","1.000","0.00","0.35","5","5","0","1.000","0.00","0.20","1","3","38.86","8.50"
"54","Brandon Halverson","T.B","1","57.95","24","19","5","0.792","5.18","-2.66","2.92","10","6","4","0.600","4.14","-2.13","8","7","1","0.875","1.04","-0.07","5","5","0","1.000","0.00","0.20","4","4","28.79","10.40"
"6","Anton Khudobin","CHI","1","60","28","22","6","0.786","6.00","-3.27","2.98","8","5","3","0.625","3.00","-1.50","9","7","2","0.778","2.00","-0.96","10","9","1","0.900","1.00","-0.60","0","2","32.54","21.00"
"72","Kenneth Appleby","NYI","1","20","8","6","2","0.750","6.00","-1.22","0.61","4","3","1","0.750","3.00","-0.25","1","0","1","0.000","3.00","-0.88","3","3","0","1.000","0.00","0.12","0","0","28.50","19.00"
"135","Nikke Kokko","SEA","1","29.95","6","4","2","0.667","4.01","-1.42","0.49","1","0","1","0.000","2.00","-0.81","4","3","1","0.750","2.00","-0.54","1","1","0","1.000","0.00","0.04","0","0","31.33","16.00"
"126","Tristan Lennox","NYI","1","4.7166666666667","2","1","1","0.500","12.72","-0.81","0.04","0","0","0","-","0.00","0.00","1","0","1","0.000","12.72","-0.88","0","0","0","-","0.00","0.00","0","0","61.00","29.00"
"131","Jett Alexander","TOR","1","1.1666666666667","0","0","0","-","0.00","0.00","0","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","-"
