"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"112","Arturs Silovs","VAN","19","1091.6666666667","474","417","57","0.880","3.13","-10.82","45.63","117","91","26","0.778","1.43","-4.11","110","93","17","0.845","0.93","-4.25","224","210","14","0.938","0.77","-5.07","30","87","36.11","22.11"
"105","Ivan Prosvetov","ARI, COL","18","916.21666666667","482","428","54","0.888","3.54","-7.04","48.08","128","104","24","0.813","1.57","-0.05","147","122","25","0.830","1.64","-7.96","189","184","5","0.974","0.33","2.53","27","84","33.09","21.20"
"13","Michael Hutchinson","CBJ, DET","17","813.25","469","412","57","0.878","4.21","-11.31","47.75","153","118","35","0.771","2.58","-6.37","117","103","14","0.880","1.03","-0.43","180","172","8","0.956","0.59","-0.83","24","63","32.79","17.98"
"127","Aleksei Kolosov","PHI","17","901.91666666667","406","352","54","0.867","3.59","-14.44","41.78","110","79","31","0.718","2.06","-10.42","106","93","13","0.877","0.86","-0.71","172","162","10","0.942","0.67","-3.15","35","83","33.63","17.96"
"100","Pavel Francouz","COL","16","964.53333333333","493","451","42","0.915","2.61","6.03","42.16","128","100","28","0.781","1.74","-4.05","137","129","8","0.942","0.50","7.88","199","193","6","0.970","0.37","1.93","23","68","36.00","20.38"
"123","Jakub Dobes","MTL","16","874.78333333333","440","400","40","0.909","2.74","2.87","46.85","111","91","20","0.820","1.37","0.77","128","113","15","0.883","1.03","-0.16","179","174","5","0.972","0.34","2.13","27","104","36.84","22.20"
"117","Yaroslav Askarov","NSH, S.J","16","856.3","427","384","43","0.899","3.01","-1.40","46.34","118","98","20","0.831","1.40","2.08","121","104","17","0.860","1.19","-2.97","164","159","5","0.970","0.35","1.54","36","95","35.11","20.51"
"121","Joel Blomqvist","PIT","15","772.45","425","376","49","0.885","3.81","-7.59","41.06","106","92","14","0.868","1.09","5.84","120","99","21","0.825","1.63","-7.09","175","161","14","0.920","1.09","-7.03","33","69","35.88","26.53"
"45","Marcus Hogberg","NYI","15","728.21666666667","335","294","41","0.878","3.38","-8.36","34.31","83","63","20","0.759","1.65","-4.47","80","72","8","0.900","0.66","1.28","153","140","13","0.915","1.07","-6.90","20","61","38.17","22.95"
"44","Cal Petersen","L.A, PHI","15","820.38333333333","389","337","52","0.866","3.80","-14.10","34.93","92","69","23","0.750","1.68","-5.78","116","102","14","0.879","1.02","-0.55","161","146","15","0.907","1.10","-8.58","14","65","35.65","23.90"
"122","Leevi Merilainen","OTT","14","748.06666666667","344","316","28","0.919","2.25","5.52","31.52","75","62","13","0.827","1.04","1.03","81","72","9","0.889","0.72","0.39","157","151","6","0.962","0.48","0.26","30","63","40.29","23.79"
"132","Jaxson Stauber","CHI, UTA","12","676.68333333333","349","315","34","0.903","3.01","0.00","34.3","97","84","13","0.866","1.15","5.15","90","73","17","0.811","1.51","-6.57","145","141","4","0.972","0.35","1.78","17","58","34.29","20.91"
"14","Dustin Tokarski","CAR, PIT","10","567.71666666667","249","224","25","0.900","2.64","-0.74","24.71","75","62","13","0.827","1.37","1.03","59","49","10","0.831","1.06","-3.16","97","95","2","0.979","0.21","1.87","17","43","37.21","18.56"
"69","Erik Kallgren","TOR","10","561.66666666667","246","221","25","0.898","2.67","-1.03","23.5","75","63","12","0.840","1.28","2.03","64","54","10","0.844","1.07","-2.58","90","87","3","0.967","0.32","0.59","15","38","35.37","17.48"
"139","Georgi Romanov","S.J","10","476.18333333333","249","221","28","0.888","3.53","-3.74","24.78","57","44","13","0.772","1.64","-2.33","67","57","10","0.851","1.26","-2.23","117","112","5","0.957","0.63","-0.34","13","48","35.13","20.29"
