"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"166","Chandler Stephenson","SEA","C","80","1550.5333333333","16","33","14","19","49","64.47","93","17.20","9.66","159","128","91","42","7","14","14","7","7","0","0","13","67","32","20","56","57","761","696","52.23"
"227","Valeri Nichushkin","COL","R","72","1276.2","17","32","12","20","49","63.64","159","10.69","23.81","321","242","183","88","9","33","26","9","8","0","1","16","59","23","55","62","27","2","2","50.00"
"402","Filip Hronek","VAN","D","82","2050.4666666667","8","41","22","19","49","50.52","137","5.84","7.09","317","208","67","8","9","32","33","15","14","1","0","12","108","34","133","134","100","0","0","-"
"653","Quinton Byfield","L.A","R","79","1581.9166666667","24","25","16","9","49","58.33","181","13.26","24.01","360","283","205","98","11","29","46","22","22","0","0","33","74","37","66","92","44","508","609","45.48"
"90","Taylor Hall","CAR","L","80","1162.3666666667","18","30","19","11","48","69.57","137","13.14","19.85","279","209","172","89","5","25","44","18","17","0","1","26","64","21","54","152","30","20","29","40.82"
"138","Rickard Rakell","PIT","R","60","1136.9166666667","24","24","14","10","48","55.81","166","14.46","28.06","294","240","222","129","2","35","8","4","4","0","0","11","49","24","71","80","43","81","144","36.00"
"196","Pavel Buchnevich","STL","L","81","1452.9833333333","20","28","19","9","48","61.54","142","14.08","19.68","280","221","184","85","4","24","26","12","12","0","0","10","66","26","30","51","40","98","149","39.68"
"215","Artturi Lehkonen","COL","L","70","1293.7","21","27","19","8","48","55.17","152","13.82","26.9","292","232","224","130","3","27","16","8","8","0","0","10","45","13","45","86","33","3","15","16.67"
"222","Elias Lindholm","BOS","C","69","1233.8833333333","17","31","12","19","48","57.14","114","14.91","20.82","260","194","166","88","8","32","38","15","14","0","1","7","52","17","41","31","59","661","516","56.16"
"316","Brock Boeser","VAN","R","75","1429","22","26","20","6","48","60.00","166","13.25","21.94","332","243","193","76","4","31","8","4","4","0","0","7","57","16","54","27","26","58","78","42.65"
"85","Vladimir Tarasenko","MIN","R","75","1120.3833333333","23","24","16","8","47","77.05","148","15.54","17.95","278","212","158","65","3","27","10","5","5","0","0","12","65","12","60","68","33","6","7","46.15"
"296","Rasmus Andersson","CGY, VGK","D","81","1879.3333333333","17","30","22","8","47","46.08","177","9.60","13.34","402","276","117","29","8","31","71","30","28","1","1","21","102","27","37","109","150","0","0","-"
"470","Noah Cates","PHI","L","82","1331.95","18","29","19","10","47","63.51","132","13.64","22.36","236","185","164","103","9","24","44","15","12","2","1","15","38","26","102","74","51","467","563","45.34"
