"","Player","Player 2","Team","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"262","Drew Doughty","Joel Edmundson","L.A","72","9.8166666666667","5","19","20.83","5","16","23.81","4","10","28.57","1","3","25.00","1.2","2.15","35.72","5","14","26.32","2","9","18.18","1","2","33.33","3","5","37.50","0","1","0.00","0","12","0.00","0","0","-","25.00","70.00","0.950","1","1","6","19","14.29","3","3","11","21.43"
"263","Drew Helleson","Jackson LaCombe","ANA","60","9.75","2","22","8.33","2","18","10.00","2","12","14.29","0","3","0.00","0.15","1.86","7.54","1","12","7.69","0","6","0.00","0","1","0.00","1","6","14.29","0","0","-","1","15","6.25","0","2","0.00","0.00","75.00","0.750","0","0","6","24","0.00","1","0","7","12.50"
"264","Noah Hanifin","Kaedan Korczak","VGK","67","9.6166666666667","1","8","11.11","1","8","11.11","1","7","12.50","0","1","0.00","0","1.23","0.28","0","7","0.00","0","4","0.00","0","1","0.00","0","3","0.00","0","0","-","0","1","0.00","0","0","-","0.00","85.71","0.857","0","1","0","6","-","0","2","0","-"
"265","Jamie Oleksiak","Josh Mahura","SEA","21","9.6","1","29","3.33","1","19","5.00","1","14","6.67","0","2","0.00","0.13","2.13","5.55","1","16","5.88","1","8","11.11","0","0","-","0","8","0.00","0","0","-","0","15","0.00","0","2","0.00","0.00","85.71","0.857","0","0","2","4","0.00","0","0","4","0.00"
"266","Rasmus Andersson","Yan Kuznetsov","CGY","34","9.6","4","14","22.22","4","14","22.22","4","7","36.36","1","1","50.00","0.33","1.37","19.27","3","10","23.08","2","5","28.57","1","1","50.00","1","5","16.67","0","0","-","0","7","0.00","0","0","-","25.00","85.71","1.107","0","1","3","13","0.00","1","1","7","12.50"
"267","Nick Leddy","Mario Ferraro","S.J","32","9.5166666666667","1","23","4.17","1","19","5.00","1","16","5.88","0","7","0.00","0.08","2.65","3.10","1","15","6.25","0","8","0.00","0","4","0.00","1","7","12.50","0","2","0.00","0","15","0.00","0","1","0.00","0.00","56.25","0.563","0","1","6","11","0.00","1","1","9","10.00"
"268","Jaccob Slavin","K'Andre Miller","CAR","38","9.5","3","14","17.65","2","9","18.18","2","7","22.22","0","2","0.00","0.05","1.27","3.73","0","8","0.00","0","3","0.00","0","1","0.00","0","5","0.00","0","0","-","1","8","11.11","0","1","0.00","0.00","71.43","0.714","0","1","1","11","0.00","0","3","3","0.00"
"269","Jamie Oleksiak","Brandon Montour","SEA","60","9.4833333333333","0","17","0.00","0","14","0.00","0","10","0.00","0","2","0.00","0","1.47","0.00","0","11","0.00","0","4","0.00","0","1","0.00","0","7","0.00","0","1","0.00","0","8","0.00","0","0","-","-","80.00","0.80","0","1","3","7","0.00","0","2","4","0.00"
"270","Ian Moore","Olen Zellweger","ANA","61","9.4666666666667","3","10","23.08","3","8","27.27","3","5","37.50","1","0","100.00","0.21","0.57","26.84","2","3","40.00","1","1","50.00","1","0","100.00","1","2","33.33","0","0","-","0","8","0.00","0","0","-","33.33","100.00","1.333","0","0","2","14","0.00","0","0","2","0.00"
"271","Olli Maatta","Kevin Bahl","CGY","16","9.45","2","16","11.11","2","11","15.38","2","9","18.18","0","2","0.00","0.36","1.21","22.85","2","9","18.18","2","2","50.00","0","0","-","0","7","0.00","0","1","0.00","0","13","0.00","0","1","0.00","0.00","77.78","0.778","0","1","7","9","0.00","0","1","8","0.00"
"272","Parker Wotherspoon","Jack St. Ivany","PIT","18","9.4","2","12","14.29","2","10","16.67","2","6","25.00","0","0","-","0.04","1.28","2.90","0","8","0.00","0","4","0.00","0","0","-","0","4","0.00","0","0","-","1","7","12.50","0","0","-","0.00","100.00","1.000","0","1","5","3","0.00","0","2","7","0.00"
"273","Sean Walker","Joel Nystrom","CAR","37","9.3666666666667","3","14","17.65","2","11","15.38","1","8","11.11","0","3","0.00","0.28","0.91","23.39","2","8","20.00","1","4","20.00","0","1","0.00","1","4","20.00","0","1","0.00","1","8","11.11","0","1","0.00","0.00","62.50","0.625","0","0","4","6","0.00","2","2","5","28.57"
"274","Dmitry Kulikov","Niko Mikkola","FLA","11","9.35","2","12","14.29","2","8","20.00","1","6","14.29","0","2","0.00","0.16","0.61","21.00","1","4","20.00","1","2","33.33","0","0","-","0","2","0.00","0","1","0.00","1","11","8.33","0","1","0.00","0.00","66.67","0.667","1","1","3","8","25.00","1","1","6","14.29"
"275","Jakob Chychrun","Rasmus Sandin","WSH","71","9.25","3","7","30.00","2","4","33.33","0","2","0.00","0","1","0.00","0.08","0.3","20.91","2","2","50.00","1","0","100.00","0","0","-","1","2","33.33","0","0","-","2","6","25.00","0","1","0.00","-","50.00","0.50","0","1","5","9","0.00","1","2","6","14.29"
"276","Marcus Pettersson","Tom Willander","VAN","70","9.2166666666667","4","6","40.00","4","5","44.44","3","3","50.00","0","1","0.00","0.12","0.55","17.69","0","2","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","3","9","25.00","0","0","-","0.00","66.67","0.667","0","0","7","4","0.00","1","0","10","9.09"
"277","Alex Petrovic","Thomas Harley","DAL","42","9.1666666666667","2","9","18.18","1","6","14.29","1","3","25.00","0","0","-","0.05","0.52","8.18","0","5","0.00","0","2","0.00","0","0","-","0","3","0.00","0","0","-","2","5","28.57","0","0","-","0.00","100.00","1.000","0","1","1","15","0.00","1","1","2","33.33"
"278","Josh Manson","Cale Makar","COL","73","9.1666666666667","3","13","18.75","3","7","30.00","2","6","25.00","0","2","0.00","0.21","1.05","17.02","2","7","22.22","1","4","20.00","0","2","0.00","1","3","25.00","0","0","-","2","10","16.67","0","0","-","0.00","66.67","0.667","0","0","4","14","0.00","1","1","9","10.00"
"279","Roman Josi","Spencer Stastney","NSH","18","9.0833333333333","0","8","0.00","0","6","0.00","0","5","0.00","0","0","-","0","0.58","0.00","0","7","0.00","0","2","0.00","0","0","-","0","5","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","1","4","0.00","0","1","2","0.00"
"280","Oliver Ekman-Larsson","Simon Benoit","TOR","69","9.05","2","21","8.70","2","19","9.52","2","12","14.29","0","1","0.00","0.02","2.72","0.71","0","13","0.00","0","6","0.00","0","0","-","0","7","0.00","0","0","-","1","11","8.33","0","1","0.00","0.00","91.67","0.917","0","2","2","11","0.00","0","2","5","0.00"
"281","Damon Severson","Ivan Provorov","CBJ","71","9","2","18","10.00","1","15","6.25","1","7","12.50","0","0","-","0.06","1.43","4.01","1","13","7.14","0","3","0.00","0","0","-","1","10","9.09","0","0","-","1","10","9.09","0","0","-","0.00","100.00","1.000","0","1","7","10","0.00","0","1","9","0.00"
"282","Noah Hanifin","Jeremy Lauzon","VGK","57","8.9333333333333","0","10","0.00","0","5","0.00","0","5","0.00","0","2","0.00","0","0.57","0.00","0","6","0.00","0","3","0.00","0","1","0.00","0","3","0.00","0","0","-","0","4","0.00","0","1","0.00","-","60.00","0.60","0","0","1","30","0.00","0","0","2","0.00"
"283","Brent Burns","Samuel Girard","COL","40","8.9166666666667","3","16","15.79","3","12","20.00","2","10","16.67","0","1","0.00","0.59","0.82","41.96","3","7","30.00","2","1","66.67","0","0","-","1","6","14.29","0","1","0.00","0","10","0.00","0","0","-","0.00","90.00","0.900","0","1","1","3","0.00","0","2","1","0.00"
"284","Miro Heiskanen","Lian Bichsel","DAL","48","8.9","1","9","10.00","1","8","11.11","0","4","0.00","0","0","-","0.02","0.66","3.09","0","5","0.00","0","2","0.00","0","0","-","0","3","0.00","0","0","-","1","8","11.11","0","0","-","-","100.00","1.00","0","1","3","1","0.00","2","1","5","28.57"
"285","Luke Schenn","Elias Salomonsson","WPG","13","8.8666666666667","1","15","6.25","1","7","12.50","1","4","20.00","0","0","-","0.12","0.66","15.55","1","6","14.29","1","3","25.00","0","0","-","0","3","0.00","0","0","-","0","8","0.00","0","0","-","0.00","100.00","1.000","0","1","3","5","0.00","0","1","3","0.00"
"286","Jake Sanderson","Nikolas Matinpalo","OTT","35","8.8666666666667","0","16","0.00","0","10","0.00","0","8","0.00","0","2","0.00","0","1.34","0.00","0","8","0.00","0","3","0.00","0","1","0.00","0","5","0.00","0","1","0.00","0","11","0.00","0","0","-","-","75.00","0.75","0","3","2","5","0.00","0","5","8","0.00"
"287","Niko Mikkola","Uvis Balinskis","FLA","54","8.8333333333333","3","13","18.75","2","7","22.22","1","2","33.33","0","0","-","0.1","0.39","20.72","1","6","14.29","0","0","-","0","0","-","1","6","14.29","0","0","-","2","8","20.00","0","0","-","0.00","100.00","1.000","0","0","2","4","0.00","0","2","4","0.00"
"288","Damon Severson","Dante Fabbro","CBJ","63","8.8","2","17","10.53","2","15","11.76","1","10","9.09","0","1","0.00","0.13","1.47","8.22","1","9","10.00","0","4","0.00","0","1","0.00","1","5","16.67","0","0","-","1","8","11.11","0","0","-","0.00","90.00","0.900","0","2","2","12","0.00","0","2","3","0.00"
"289","Jeremy Lauzon","Kaedan Korczak","VGK","64","8.7333333333333","4","10","28.57","4","8","33.33","2","7","22.22","0","1","0.00","0.34","0.68","33.63","2","5","28.57","1","2","33.33","0","1","0.00","1","3","25.00","0","0","-","2","9","18.18","0","0","-","0.00","85.71","0.857","0","0","4","6","0.00","0","2","6","0.00"
"290","Victor Hedman","Erik Cernak","T.B","28","8.7","1","11","8.33","0","6","0.00","0","4","0.00","0","0","-","0","0.83","0.00","1","10","9.09","0","4","0.00","0","0","-","1","6","14.29","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","0","0","1","23","0.00","0","0","2","0.00"
"291","Darnell Nurse","Evan Bouchard","EDM","82","8.6166666666667","4","9","30.77","1","5","16.67","1","4","20.00","0","0","-","0.08","0.33","19.33","1","2","33.33","0","0","-","0","0","-","1","2","33.33","0","0","-","1","9","10.00","0","0","-","0.00","100.00","1.000","0","1","7","12","0.00","0","1","7","0.00"
"292","Henri Jokiharju","Jonathan Aspirot","BOS","28","8.5166666666667","3","13","18.75","3","11","21.43","3","8","27.27","0","1","0.00","0.05","1.32","3.89","0","10","0.00","0","4","0.00","0","0","-","0","6","0.00","0","1","0.00","1","3","25.00","0","0","-","0.00","87.50","0.875","0","0","2","2","0.00","0","0","2","0.00"
"293","Kris Letang","Brett Kulak","PIT","19","8.4666666666667","1","13","7.14","1","7","12.50","1","2","33.33","0","0","-","0.01","0.89","0.64","0","5","0.00","0","5","0.00","0","0","-","0","0","-","0","0","-","0","11","0.00","0","0","-","0.00","100.00","1.000","0","1","3","7","0.00","0","1","8","0.00"
"294","Brent Burns","Sam Malinski","COL","82","8.45","2","14","12.50","2","11","15.38","2","6","25.00","0","0","-","0.2","1.17","14.54","1","8","11.11","0","3","0.00","0","0","-","1","5","16.67","0","0","-","1","7","12.50","0","0","-","0.00","100.00","1.000","0","3","2","13","0.00","1","3","2","33.33"
"295","Mattias Samuelsson","Zach Metsa","BUF","41","8.4166666666667","0","19","0.00","0","11","0.00","0","8","0.00","0","0","-","0","0.96","0.00","0","8","0.00","0","4","0.00","0","0","-","0","4","0.00","0","0","-","0","16","0.00","0","0","-","-","100.00","1.00","0","0","6","2","0.00","0","1","9","0.00"
"296","Wyatt Kaiser","Ethan Del Mastro","CHI","17","8.4166666666667","1","9","10.00","1","9","10.00","1","6","14.29","0","1","0.00","0.18","1.11","14.08","1","7","12.50","0","3","0.00","0","1","0.00","1","4","20.00","0","0","-","0","2","0.00","0","0","-","0.00","83.33","0.833","0","0","1","6","0.00","1","1","1","50.00"
"297","Mattias Samuelsson","Michael Kesselring","BUF","33","8.3833333333333","1","15","6.25","1","9","10.00","0","7","0.00","0","2","0.00","0.08","0.81","8.50","1","6","14.29","0","3","0.00","0","1","0.00","1","3","25.00","0","0","-","0","13","0.00","0","1","0.00","-","71.43","0.71","0","0","4","7","0.00","0","1","6","0.00"
"298","Cam Fowler","Logan Mailloux","STL","67","8.3666666666667","5","11","31.25","5","10","33.33","4","4","50.00","0","0","-","0.12","1.07","10.13","1","9","10.00","1","4","20.00","0","0","-","0","5","0.00","0","0","-","0","3","0.00","0","0","-","0.00","100.00","1.000","0","2","7","10","0.00","0","2","7","0.00"
"299","Jalen Chatfield","Joel Nystrom","CAR","30","8.3333333333333","4","6","40.00","4","6","40.00","4","4","50.00","0","1","0.00","0.11","0.74","13.00","1","3","25.00","0","2","0.00","0","1","0.00","1","1","50.00","0","0","-","1","3","25.00","0","0","-","0.00","75.00","0.750","0","0","2","8","0.00","1","1","2","33.33"
"300","Rasmus Andersson","Jeremy Lauzon","VGK","33","8.2833333333333","2","20","9.09","2","16","11.11","2","11","15.38","0","2","0.00","0.1","1.89","5.10","1","13","7.14","0","9","0.00","0","0","-","1","4","20.00","0","0","-","1","10","9.09","0","2","0.00","0.00","81.82","0.818","0","1","4","21","0.00","0","1","4","0.00"
"301","Spencer Stastney","Adam Wilsby","NSH","20","8.2833333333333","1","15","6.25","1","12","7.69","1","6","14.29","1","1","50.00","0.06","1.95","2.99","1","12","7.69","0","8","0.00","0","1","0.00","1","4","20.00","1","0","100.00","0","3","0.00","0","0","-","100.00","83.33","1.833","0","1","1","9","0.00","0","3","1","0.00"
"302","Carson Soucy","Matthew Robertson","NYR","36","8.2333333333333","3","5","37.50","3","1","75.00","3","1","75.00","0","0","-","0.53","0.04","93.78","2","3","40.00","2","0","100.00","0","0","-","0","3","0.00","0","0","-","0","4","0.00","0","0","-","0.00","100.00","1.000","0","2","2","5","0.00","0","4","6","0.00"
"303","Joel Hanley","Yan Kuznetsov","CGY","48","8.2166666666667","4","7","36.36","3","5","37.50","1","5","16.67","1","0","100.00","0.39","0.46","46.10","2","3","40.00","1","1","50.00","1","0","100.00","1","2","33.33","0","0","-","3","4","42.86","0","0","-","100.00","100.00","2.000","0","0","0","14","-","2","2","0","100.00"
"304","Josh Morrissey","Haydn Fleury","WPG","35","8.15","1","11","8.33","1","9","10.00","0","6","0.00","0","2","0.00","0.12","1.52","7.57","1","7","12.50","1","5","16.67","0","2","0.00","0","2","0.00","0","0","-","0","6","0.00","0","0","-","-","66.67","0.67","0","0","3","10","0.00","0","0","3","0.00"
"305","Kevin Bahl","Yan Kuznetsov","CGY","54","8.15","6","14","30.00","6","12","33.33","6","5","54.55","1","2","33.33","0.58","1.72","25.24","3","12","20.00","3","9","25.00","1","1","50.00","0","3","0.00","0","1","0.00","0","6","0.00","0","0","-","16.67","60.00","0.767","0","2","3","24","0.00","0","4","4","0.00"
"306","Wyatt Kaiser","Sam Rinzel","CHI","51","8.15","1","15","6.25","0","12","0.00","0","7","0.00","0","1","0.00","0","1.85","0.00","1","11","8.33","0","5","0.00","0","0","-","1","6","14.29","0","1","0.00","0","4","0.00","0","0","-","-","85.71","0.86","0","0","1","6","0.00","0","0","1","0.00"
"307","Jalen Chatfield","Sean Walker","CAR","72","8.05","3","10","23.08","3","8","27.27","2","6","25.00","0","0","-","0.37","0.81","31.68","2","2","50.00","1","1","50.00","0","0","-","1","1","50.00","0","0","-","0","8","0.00","0","0","-","0.00","100.00","1.000","0","0","3","21","0.00","0","0","5","0.00"
"308","Matt Kiersted","Viking Gustafsson-Nyberg","MIN","2","7.9833333333333","1","15","6.25","1","13","7.14","1","9","10.00","0","1","0.00","0.01","0.99","0.79","0","8","0.00","0","1","0.00","0","0","-","0","7","0.00","0","1","0.00","0","8","0.00","0","0","-","0.00","88.89","0.889","0","2","2","3","0.00","0","2","3","0.00"
"309","Brian Dumoulin","Joel Edmundson","L.A","82","7.85","3","5","37.50","3","5","37.50","2","2","50.00","0","0","-","0.27","0.41","40.18","3","2","60.00","1","2","33.33","0","0","-","2","0","100.00","0","0","-","0","3","0.00","0","0","-","0.00","100.00","1.000","1","1","0","24","100.00","1","3","0","100.00"
"310","Tyler Myers","Thomas Harley","DAL","16","7.8166666666667","3","6","33.33","3","4","42.86","3","3","50.00","1","1","50.00","0.18","0.67","21.16","2","3","40.00","0","2","0.00","0","1","0.00","2","1","66.67","1","0","100.00","1","4","20.00","0","0","-","33.33","66.67","1.000","0","0","2","8","0.00","1","2","2","33.33"
"311","John Carlson","Olen Zellweger","ANA","11","7.8166666666667","0","13","0.00","0","9","0.00","0","7","0.00","0","0","-","0","0.89","0.00","0","7","0.00","0","4","0.00","0","0","-","0","3","0.00","0","0","-","0","8","0.00","0","0","-","-","100.00","1.00","1","1","2","6","33.33","1","2","3","25.00"
"312","Brian Dumoulin","Mikey Anderson","L.A","80","7.7666666666667","4","9","30.77","4","4","50.00","3","2","60.00","0","0","-","0.21","0.36","36.89","3","5","37.50","0","1","0.00","0","0","-","3","4","42.86","0","0","-","0","4","0.00","0","0","-","0.00","100.00","1.000","0","0","0","32","-","0","0","0","-"
"313","Kris Letang","Samuel Girard","PIT","19","7.75","2","18","10.00","2","10","16.67","1","8","11.11","0","2","0.00","0.44","1.2","26.98","2","14","12.50","2","5","28.57","0","2","0.00","0","9","0.00","0","0","-","0","4","0.00","0","0","-","0.00","75.00","0.750","0","1","1","9","0.00","0","1","1","0.00"
"314","Timothy Liljegren","Shakir Mukhamadullin","S.J","17","7.7333333333333","2","16","11.11","2","13","13.33","2","9","18.18","1","0","100.00","0.52","1.87","21.78","2","8","20.00","2","5","28.57","1","0","100.00","0","3","0.00","0","0","-","0","6","0.00","0","0","-","50.00","100.00","1.500","0","1","0","6","-","0","3","0","-"
"315","John Carlson","Rasmus Sandin","WSH","48","7.7","2","15","11.76","2","12","14.29","2","6","25.00","0","1","0.00","0.06","1.89","3.04","1","9","10.00","0","3","0.00","0","1","0.00","1","6","14.29","0","0","-","0","10","0.00","0","0","-","0.00","83.33","0.833","0","0","3","9","0.00","0","0","4","0.00"
"316","Cody Ceci","Mikey Anderson","L.A","80","7.6833333333333","1","21","4.55","1","19","5.00","0","14","0.00","0","3","0.00","0.11","3","3.64","1","14","6.67","1","10","9.09","0","2","0.00","0","4","0.00","0","0","-","0","12","0.00","0","1","0.00","-","78.57","0.79","0","0","3","23","0.00","0","0","6","0.00"
"317","Tyler Tucker","Philip Broberg","STL","68","7.6833333333333","3","7","30.00","3","6","33.33","2","3","40.00","0","1","0.00","0.08","0.7","10.49","1","5","16.67","0","3","0.00","0","0","-","1","2","33.33","0","1","0.00","0","2","0.00","0","0","-","0.00","66.67","0.667","0","0","0","25","-","0","0","0","-"
"318","Radko Gudas","Ian Moore","ANA","41","7.65","2","6","25.00","2","3","40.00","2","2","50.00","1","0","100.00","0.21","0.15","58.03","2","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","5","0.00","0","0","-","50.00","100.00","1.500","1","1","1","9","50.00","1","1","1","50.00"
"319","Olli Maatta","Joel Hanley","CGY","10","7.65","2","15","11.76","2","9","18.18","1","6","14.29","0","1","0.00","0.1","0.9","10.10","1","8","11.11","1","4","20.00","0","0","-","0","4","0.00","0","0","-","2","7","22.22","0","1","0.00","0.00","83.33","0.833","0","0","2","5","0.00","1","1","3","25.00"
"320","Dmitry Orlov","Sam Dickinson","S.J","72","7.6333333333333","0","13","0.00","0","8","0.00","0","6","0.00","0","1","0.00","0","1","0.00","0","8","0.00","0","3","0.00","0","1","0.00","0","5","0.00","0","0","-","0","6","0.00","0","0","-","-","83.33","0.83","0","0","3","4","0.00","0","1","3","0.00"
"321","Olli Maatta","Yan Kuznetsov","CGY","10","7.6333333333333","3","8","27.27","2","7","22.22","2","6","25.00","1","2","33.33","0.39","0.69","35.80","3","2","60.00","2","1","66.67","1","0","100.00","1","1","50.00","0","0","-","0","9","0.00","0","2","0.00","50.00","66.67","1.167","0","0","3","4","0.00","0","0","5","0.00"
"322","Timothy Liljegren","Sam Dickinson","S.J","34","7.6333333333333","2","11","15.38","2","8","20.00","1","5","16.67","0","2","0.00","0.1","1.24","7.44","1","9","10.00","0","3","0.00","0","0","-","1","6","14.29","0","2","0.00","0","5","0.00","0","0","-","0.00","60.00","0.600","0","0","4","5","0.00","0","0","3","0.00"
"323","Mike Matheson","Lane Hutson","MTL","78","7.6","2","10","16.67","2","9","18.18","2","4","33.33","0","0","-","0.09","0.88","8.77","1","4","20.00","1","0","100.00","0","0","-","0","4","0.00","0","0","-","0","7","0.00","0","0","-","0.00","100.00","1.000","0","0","0","3","-","0","1","2","0.00"
"324","Tyler Kleven","Jake Sanderson","OTT","57","7.6","2","8","20.00","1","4","20.00","0","2","0.00","0","0","-","0.11","0.38","22.28","2","5","28.57","1","0","100.00","0","0","-","1","5","16.67","0","0","-","0","7","0.00","0","0","-","-","100.00","1.00","0","1","7","11","0.00","0","1","9","0.00"
"325","Mike Reilly","Sean Walker","CAR","41","7.55","2","12","14.29","2","11","15.38","2","6","25.00","1","2","33.33","0.14","1.07","11.51","1","10","9.09","1","3","25.00","1","1","50.00","0","7","0.00","0","1","0.00","1","4","20.00","0","0","-","50.00","66.67","1.167","0","0","6","7","0.00","0","1","7","0.00"
"326","Matt Grzelcyk","Louis Crevier","CHI","65","7.5333333333333","2","12","14.29","2","9","18.18","2","7","22.22","1","1","50.00","0.26","1.45","15.00","2","9","18.18","2","5","28.57","1","0","100.00","0","4","0.00","0","1","0.00","0","3","0.00","0","0","-","50.00","85.71","1.357","0","0","1","15","0.00","0","0","2","0.00"
"327","Ryan Lindgren","Josh Mahura","SEA","20","7.5333333333333","1","12","7.69","1","7","12.50","1","4","20.00","0","1","0.00","0.13","0.58","18.60","1","6","14.29","1","0","100.00","0","0","-","0","6","0.00","0","1","0.00","0","8","0.00","0","0","-","0.00","75.00","0.750","0","0","3","4","0.00","0","1","4","0.00"
"328","Alex Vlasic","Wyatt Kaiser","CHI","76","7.5333333333333","1","8","11.11","1","7","12.50","1","7","12.50","0","2","0.00","0.14","0.81","14.83","1","6","14.29","0","4","0.00","0","1","0.00","1","2","33.33","0","1","0.00","0","8","0.00","0","0","-","0.00","71.43","0.714","0","0","2","5","0.00","0","0","9","0.00"
"329","Travis Sanheim","Noah Juulsen","PHI","51","7.5166666666667","2","8","20.00","2","6","25.00","0","3","0.00","0","1","0.00","0.19","0.64","22.44","2","5","28.57","1","0","100.00","0","0","-","1","5","16.67","0","1","0.00","0","4","0.00","0","0","-","-","66.67","0.67","0","0","0","16","-","0","0","3","0.00"
"330","Nick Leddy","Shakir Mukhamadullin","S.J","16","7.4666666666667","0","12","0.00","0","10","0.00","0","3","0.00","0","0","-","0","1.15","0.00","0","7","0.00","0","4","0.00","0","0","-","0","3","0.00","0","0","-","0","9","0.00","0","0","-","-","100.00","1.00","1","0","5","7","16.67","1","0","5","16.67"
"331","Zach Whitecloud","Yan Kuznetsov","CGY","20","7.4666666666667","3","11","21.43","2","8","20.00","2","3","40.00","0","1","0.00","0.03","1.09","2.64","1","7","12.50","0","2","0.00","0","1","0.00","1","5","16.67","0","0","-","1","9","10.00","0","0","-","0.00","66.67","0.667","0","0","6","4","0.00","0","0","8","0.00"
"332","Alexander Romanov","Matthew Schaefer","NYI","15","7.45","3","19","13.64","3","14","17.65","2","7","22.22","0","0","-","0.2","1.71","10.58","2","12","14.29","1","6","14.29","0","0","-","1","6","14.29","0","0","-","0","8","0.00","0","0","-","0.00","100.00","1.000","1","1","2","5","33.33","1","1","4","20.00"
"333","K'Andre Miller","Alexander Nikishin","CAR","71","7.4333333333333","3","6","33.33","0","5","0.00","0","4","0.00","0","0","-","0","0.48","0.00","1","3","25.00","0","1","0.00","0","0","-","1","2","33.33","0","0","-","1","4","20.00","0","0","-","-","100.00","1.00","0","0","1","9","0.00","0","0","1","0.00"
"334","Mattias Ekholm","Darnell Nurse","EDM","82","7.3666666666667","7","15","31.82","7","12","36.84","7","11","38.89","1","1","50.00","0.63","1.12","36.15","4","9","30.77","3","0","100.00","1","0","100.00","1","9","10.00","0","1","0.00","2","10","16.67","0","0","-","14.29","90.91","1.052","0","1","3","23","0.00","0","1","8","0.00"
"335","Dmitry Kulikov","Gustav Forsling","FLA","18","7.3","1","13","7.14","1","12","7.69","1","10","9.09","0","1","0.00","0.1","1.53","6.21","1","9","10.00","1","3","25.00","0","0","-","0","6","0.00","0","1","0.00","0","6","0.00","0","0","-","0.00","90.00","0.900","0","0","3","6","0.00","0","0","6","0.00"
"336","Cale Makar","Sam Malinski","COL","75","7.2333333333333","3","9","25.00","3","6","33.33","3","5","37.50","0","1","0.00","0.23","0.5","31.96","1","3","25.00","0","1","0.00","0","0","-","1","2","33.33","0","1","0.00","2","5","28.57","0","0","-","0.00","80.00","0.800","0","1","0","11","-","0","2","0","-"
"337","Noah Juulsen","Adam Ginning","PHI","5","7.2166666666667","0","16","0.00","0","11","0.00","0","6","0.00","0","1","0.00","0","1.18","0.00","0","11","0.00","0","4","0.00","0","0","-","0","7","0.00","0","0","-","0","5","0.00","0","1","0.00","-","83.33","0.83","0","0","1","6","0.00","0","0","2","0.00"
"338","Dylan DeMelo","Haydn Fleury","WPG","38","7.1833333333333","3","9","25.00","3","5","37.50","2","4","33.33","0","1","0.00","0.25","0.77","24.32","2","4","33.33","1","3","25.00","0","1","0.00","1","1","50.00","0","0","-","1","9","10.00","0","0","-","0.00","75.00","0.750","0","0","3","12","0.00","0","0","6","0.00"
"339","Nikita Zadorov","Henri Jokiharju","BOS","40","7.1833333333333","0","12","0.00","0","12","0.00","0","9","0.00","0","0","-","0","1.49","0.00","0","8","0.00","0","3","0.00","0","0","-","0","5","0.00","0","0","-","0","8","0.00","0","0","-","-","100.00","1.00","0","0","2","9","0.00","0","1","7","0.00"
"340","Carson Soucy","Vladislav Gavrikov","NYR","46","7.1666666666667","1","11","8.33","1","10","9.09","1","7","12.50","0","0","-","0","1.83","0.01","0","9","0.00","0","5","0.00","0","0","-","0","4","0.00","0","0","-","0","4","0.00","0","0","-","0.00","100.00","1.000","0","0","1","28","0.00","0","0","3","0.00"
"341","William Borgen","Adam Fox","NYR","48","7.0833333333333","2","9","18.18","2","8","20.00","1","5","16.67","0","1","0.00","0.97","0.55","64.06","1","8","11.11","1","1","50.00","0","0","-","0","7","0.00","0","1","0.00","2","4","33.33","0","0","-","0.00","80.00","0.800","0","0","3","10","0.00","1","0","5","16.67"
"342","Ben Chiarot","Simon Edvinsson","DET","72","7.0333333333333","4","10","28.57","4","9","30.77","3","7","30.00","1","0","100.00","0.73","1.23","37.27","3","6","33.33","3","6","33.33","1","0","100.00","0","0","-","0","0","-","1","5","16.67","0","0","-","33.33","100.00","1.333","0","0","0","27","-","0","0","1","0.00"
"343","Darren Raddysh","Declan Carlile","T.B","39","7.0166666666667","3","7","30.00","3","6","33.33","2","3","40.00","0","0","-","0.22","0.63","25.81","1","5","16.67","1","2","33.33","0","0","-","0","3","0.00","0","0","-","1","3","25.00","0","0","-","0.00","100.00","1.000","0","0","1","4","0.00","0","0","2","0.00"
"344","Dougie Hamilton","Luke Hughes","N.J","63","7","7","7","50.00","7","4","63.64","7","2","77.78","1","0","100.00","0.77","0.28","73.67","6","4","60.00","4","1","80.00","1","0","100.00","2","3","40.00","0","0","-","0","4","0.00","0","0","-","14.29","100.00","1.143","0","1","1","11","0.00","0","1","1","0.00"
"345","Thomas Chabot","Nikolas Matinpalo","OTT","25","6.9833333333333","4","9","30.77","3","5","37.50","3","3","50.00","1","1","50.00","0.15","0.51","22.61","2","6","25.00","0","1","0.00","0","0","-","2","5","28.57","1","1","50.00","1","2","33.33","0","0","-","33.33","66.67","1.000","0","2","1","5","0.00","0","2","1","0.00"
