"","Player","Player 2","Team","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"87","Victor Hedman","Janis Moser","T.B","31","37.95","6","47","11.32","4","37","9.76","3","28","9.68","0","2","0.00","0.46","5.17","8.11","3","32","8.57","1","18","5.26","0","1","0.00","2","14","12.50","0","1","0.00","1","23","4.17","0","0","-","0.00","92.86","0.929","1","1","10","38","9.09","2","2","14","12.50"
"88","Ty Emberson","Spencer Stastney","EDM","31","37.483333333333","5","67","6.94","5","52","8.77","3","33","8.33","0","5","0.00","0.38","5.97","5.97","4","46","8.00","0","21","0.00","0","2","0.00","4","25","13.79","0","1","0.00","1","31","3.13","0","2","0.00","0.00","84.85","0.848","1","4","18","21","5.26","1","6","21","4.55"
"89","Nicolas Hague","Nick Blankenburg","NSH","43","37.1","12","38","24.00","11","30","26.83","9","26","25.71","1","5","16.67","0.9","3.72","19.49","4","28","12.50","2","14","12.50","0","4","0.00","2","14","12.50","1","1","50.00","4","15","21.05","0","0","-","11.11","80.77","0.919","0","3","5","32","0.00","2","7","10","16.67"
"90","Matt Roy","Rasmus Sandin","WSH","71","36.7","7","62","10.14","6","46","11.54","5","36","12.20","0","6","0.00","0.26","5.14","4.74","2","38","5.00","2","20","9.09","0","2","0.00","0","18","0.00","0","2","0.00","1","36","2.70","0","2","0.00","0.00","83.33","0.833","0","0","15","21","0.00","0","1","21","0.00"
"91","Connor Murphy","Darnell Nurse","EDM","20","36.683333333333","14","85","14.14","13","64","16.88","10","43","18.87","0","5","0.00","1.29","7.6","14.47","10","52","16.13","5","20","20.00","0","3","0.00","5","32","13.51","0","1","0.00","2","54","3.57","0","1","0.00","0.00","88.37","0.884","1","2","29","10","3.33","2","4","40","4.76"
"92","Philip Broberg","Logan Mailloux","STL","66","35.866666666667","4","65","5.80","2","55","3.51","2","35","5.41","1","5","16.67","0.09","6.47","1.31","2","43","4.44","0","17","0.00","0","1","0.00","2","26","7.14","1","3","25.00","0","41","0.00","0","1","0.00","50.00","85.71","1.357","0","5","26","14","0.00","0","5","35","0.00"
"93","Erik Cernak","Janis Moser","T.B","58","35.8","5","72","6.49","4","59","6.35","4","37","9.76","0","6","0.00","0.45","7.51","5.65","2","52","3.70","1","23","4.17","0","3","0.00","1","29","3.33","0","3","0.00","2","52","3.70","0","0","-","0.00","83.78","0.838","0","2","30","17","0.00","1","7","52","1.89"
"94","Jamie Oleksiak","Ryker Evans","SEA","63","35.316666666667","4","57","6.56","4","50","7.41","4","35","10.26","0","4","0.00","0.51","6.24","7.54","2","40","4.76","1","21","4.55","0","3","0.00","1","19","5.00","0","1","0.00","1","26","3.70","0","0","-","0.00","88.57","0.886","1","6","6","34","14.29","3","8","14","17.65"
"95","Mattias Samuelsson","Owen Power","BUF","77","34.6","8","63","11.27","7","40","14.89","6","26","18.75","4","7","36.36","1.36","4.4","23.64","5","35","12.50","4","11","26.67","4","3","57.14","1","24","4.00","0","2","0.00","1","43","2.27","0","2","0.00","66.67","73.08","1.397","0","1","13","18","0.00","0","3","32","0.00"
"96","Jared Spurgeon","Jonas Brodin","MIN","59","34.116666666667","5","64","7.25","4","43","8.51","4","26","13.33","0","0","-","0.13","4.21","3.08","0","37","0.00","0","15","0.00","0","0","-","0","22","0.00","0","0","-","3","35","7.89","0","0","-","0.00","100.00","1.000","0","1","9","28","0.00","2","4","15","11.76"
