Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,OPS,DPS,GPS,PS
1962-63,NHL,Gordie Howe,34,DET,RW,38,48,86,23,8.4,1.1,0.0,9.5
1961-62,NHL,Bobby Hull,23,CBH,LW,50,34,84,10,8.8,1.2,0.0,10.0
1960-61,NHL,Bernie Geoffrion,29,MTL,RW,50,45,95,3,10.5,1.1,0.0,11.6
1959-60,NHL,Bobby Hull,21,CBH,LW,39,42,81,27,8.0,1.2,0.0,9.2
1958-59,NHL,Dickie Moore,28,MTL,LW,41,55,96,,9.6,1.4,0.0,11.0
1957-58,NHL,Dickie Moore,27,MTL,LW,36,48,84,,8.3,1.4,0.0,9.7
1956-57,NHL,Gordie Howe,28,DET,RW,44,45,89,,10.5,1.3,0.0,11.8
1955-56,NHL,Jean Béliveau,24,MTL,C,47,41,88,,11.5,1.5,0.0,13.0
1954-55,NHL,Bernie Geoffrion,23,MTL,RW,38,37,75,,9.0,1.3,0.0,10.3
1953-54,NHL,Gordie Howe,25,DET,RW,33,48,81,,10.2,1.4,0.0,11.6
1952-53,NHL,Gordie Howe,24,DET,RW,49,46,95,,14.1,1.4,0.0,15.5
1951-52,NHL,Gordie Howe,23,DET,RW,47,39,86,,11.6,1.5,0.0,13.1
1950-51,NHL,Gordie Howe,22,DET,RW,43,43,86,,10.6,1.5,0.0,12.1
1949-50,NHL,Ted Lindsay,24,DET,LW,23,55,78,,7.8,1.2,0.0,9.0
1948-49,NHL,Roy Conacher,32,CBH,LW,26,42,68,,7.0,0.5,0.0,7.4
1947-48,NHL,Elmer Lach,30,MTL,C,30,31,61,,6.5,1.0,0.0,7.5
