Season,Lg,Player,Age,Tm,Pos,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
,,Brian Hayward,27,MTL,G,22,10,4,2.86,.896,0.0,0.0,6.9,6.9
1986-87,NHL,Patrick Roy,21,MTL,G,22,16,6,2.94,.891,0.0,0.0,7.7,7.7
,,Brian Hayward,26,MTL,G,19,13,4,2.82,.893,0.0,0.0,6.2,6.2
1985-86,NHL,Darren Jensen,25,PHI,G,15,9,1,3.69,.883,0.0,0.0,4.5,4.5
,,Bob Froese,27,PHI,G,31,10,3,2.55,.909,0.0,0.0,9.9,9.9
1984-85,NHL,Bob Sauvé,29,BUF,G,13,10,3,3.23,.855,0.0,0.0,2.3,2.3
,,Tom Barrasso,19,BUF,G,25,18,10,2.67,.887,0.0,0.0,8.1,8.1
1983-84,NHL,Pat Riggin,24,WSH,G,21,14,2,2.67,.889,0.0,0.0,6.0,6.0
,,Al Jensen,25,WSH,G,25,13,3,2.92,.881,0.0,0.0,5.8,5.8
1982-83,NHL,Billy Smith,32,NYI,G,18,14,7,2.87,.906,0.0,0.0,9.1,9.1
,,Roland Melanson,22,NYI,G,24,12,5,2.66,.909,0.0,0.0,10.2,10.2
1981-82,NHL,Denis Herron,29,MTL,G,12,6,8,2.64,.911,0.0,0.0,6.6,6.6
,,Rick Wamsley,22,MTL,G,23,7,7,2.75,.893,0.0,0.0,9.2,9.2
