Season,Lg,Player,Age,Tm,Pos,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
,,Bernie Parent,28,PHI,G,47,13,12,1.89,.932,0.0,0.0,19.9,19.9
1972-73,NHL,Ken Dryden,25,MTL,G,33,7,13,2.26,.926,0.0,0.0,13.2,13.2
1971-72,NHL,Tony Esposito,28,CBH,G,31,10,6,1.77,.934,0.0,0.0,13.0,13.0
,,Gary Smith,27,CBH,G,14,5,6,2.42,.911,0.0,0.0,5.6,5.6
1970-71,NHL,Ed Giacomin,31,NYR,G,27,10,7,2.16,.922,0.0,0.0,11.0,11.0
,,Gilles Villemure,30,NYR,G,22,8,4,2.30,.919,0.0,0.0,8.0,8.0
1969-70,NHL,Tony Esposito,26,CBH,G,38,17,8,2.17,.932,0.0,0.0,14.7,14.7
1968-69,NHL,Glenn Hall,37,STL,G,19,12,8,2.17,.928,0.0,0.0,9.4,9.4
,,Jacques Plante,40,STL,G,18,12,6,1.96,.940,0.0,0.0,9.2,9.2
1967-68,NHL,Rogie Vachon,22,MTL,G,21,15,2,2.48,.913,0.0,0.0,7.1,7.1
,,Gump Worsley,38,MTL,G,21,7,8,1.98,.922,0.0,0.0,9.0,9.0
1966-67,NHL,Denis DeJordy,28,CBH,G,22,12,7,2.46,.923,0.0,0.0,9.0,9.0
,,Glenn Hall,35,CBH,G,19,5,5,2.38,.922,0.0,0.0,6.1,6.1
1965-66,NHL,Charlie Hodge,32,MTL,G,13,8,2,2.58,.905,0.0,0.0,4.5,4.5
,,Gump Worsley,36,MTL,G,28,13,6,2.36,.917,0.0,0.0,11.0,11.0
1964-65,NHL,Johnny Bower,40,TOR,G,14,13,7,2.38,.924,0.0,0.0,7.2,7.2
,,Terry Sawchuk,35,TOR,G,16,13,7,2.56,.915,0.0,0.0,7.0,7.0
1963-64,NHL,Charlie Hodge,30,MTL,G,33,18,11,2.26,.920,0.0,0.0,13.3,13.3
1962-63,NHL,Glenn Hall,31,CBH,G,30,20,15,2.47,.918,0.0,0.0,13.6,13.6
1961-62,NHL,Jacques Plante,33,MTL,G,42,14,14,2.37,.923,0.0,0.0,15.6,15.6
1960-61,NHL,Johnny Bower,36,TOR,G,33,15,10,2.50,.922,0.0,0.0,12.1,12.1
1959-60,NHL,Jacques Plante,31,MTL,G,40,17,12,2.54,.915,0.0,0.0,14.0,14.0
1958-59,NHL,Jacques Plante,30,MTL,G,38,16,13,2.16,.925,0.0,0.0,15.6,15.6
1957-58,NHL,Jacques Plante,29,MTL,G,34,14,8,2.11,.924,0.0,0.0,13.2,13.2
1956-57,NHL,Jacques Plante,28,MTL,G,31,18,12,2.00,.920,0.0,0.0,14.2,14.2
1955-56,NHL,Jacques Plante,27,MTL,G,42,12,10,1.86,.931,0.0,0.0,15.1,15.1
1954-55,NHL,Terry Sawchuk,25,DET,G,40,17,11,1.96,,0.0,0.0,15.4,15.4
1953-54,NHL,Harry Lumley,27,TOR,G,32,24,13,1.86,,0.0,0.0,15.6,15.6
1952-53,NHL,Terry Sawchuk,23,DET,G,32,15,16,1.89,,0.0,0.0,14.0,14.0
1951-52,NHL,Terry Sawchuk,22,DET,G,44,14,12,1.90,,0.0,0.0,16.6,16.6
1950-51,NHL,Al Rollins,24,TOR,G,26,6,7,1.77,,0.0,0.0,10.4,10.4
1949-50,NHL,Bill Durnan,34,MTL,G,26,21,17,2.20,,0.0,0.0,14.2,14.2
1948-49,NHL,Bill Durnan,33,MTL,G,28,23,9,2.10,,0.0,0.0,13.9,13.9
1947-48,NHL,Turk Broda,33,TOR,G,32,15,13,2.38,,0.0,0.0,13.2,13.2
1946-47,NHL,Bill Durnan,31,MTL,G,34,16,10,2.30,,0.0,0.0,14.7,14.7
1945-46,NHL,Bill Durnan,30,MTL,G,24,11,5,2.60,,0.0,0.0,9.2,9.2
1944-45,NHL,Bill Durnan,29,MTL,G,38,8,4,2.42,,0.0,0.0,13.2,13.2
1943-44,NHL,Bill Durnan,28,MTL,G,38,5,7,2.18,,0.0,0.0,15.0,15.0
1942-43,NHL,Johnny Mowers,26,DET,G,25,14,11,2.47,,0.0,0.0,12.8,12.8
1941-42,NHL,Frank Brimsek,26,BOS,G,24,17,6,2.35,,0.0,0.0,11.0,11.0
1940-41,NHL,Turk Broda,26,TOR,G,28,14,6,2.00,,0.0,0.0,10.9,10.9
1939-40,NHL,Dave Kerr,30,NYR,G,27,11,10,1.54,,0.0,0.0,13.1,13.1
1938-39,NHL,Frank Brimsek,23,BOS,G,33,9,1,1.56,,0.0,0.0,11.3,11.3
1937-38,NHL,Tiny Thompson,34,BOS,G,30,11,7,1.80,,0.0,0.0,11.5,11.5
1936-37,NHL,Normie Smith,28,DET,G,25,14,9,2.05,,0.0,0.0,9.8,9.8
1935-36,NHL,Tiny Thompson,32,BOS,G,22,20,6,1.68,,0.0,0.0,10.4,10.4
1934-35,NHL,Lorne Chabot,34,CBH,G,26,17,5,1.80,,0.0,0.0,11.5,11.5
1933-34,NHL,Charlie Gardiner,29,CBH,G,20,17,11,1.63,,0.0,0.0,12.1,12.1
1932-33,NHL,Tiny Thompson,29,BOS,G,25,15,8,1.76,,0.0,0.0,10.7,10.7
1931-32,NHL,Charlie Gardiner,27,CBH,G,18,18,11,1.85,,0.0,0.0,11.0,11.0
1930-31,NHL,Roy Worters,30,NYA,G,18,16,10,1.61,,0.0,0.0,11.3,11.3
1929-30,NHL,Tiny Thompson,26,BOS,G,38,5,1,2.19,,0.0,0.0,10.0,10.0
1928-29,NHL,George Hainsworth,33,MTL,G,22,7,15,0.92,,0.0,0.0,11.8,11.8
1927-28,NHL,George Hainsworth,32,MTL,G,26,11,7,1.05,,0.0,0.0,12.6,12.6
1926-27,NHL,George Hainsworth,31,MTL,G,28,14,2,1.47,,0.0,0.0,10.1,10.1
